codice_regione,denominazione_regione,abitanti
13,Abruzzo,1326513
17,Basilicata,573694
18,Calabria,1970521
15,Campania,5850850
8,Emilia-Romagna,4448146
6,Friuli-Venezia Giulia,1221218
12,Lazio,5888472
7,Liguria,1571053
3,Lombardia,10008349
11,Marche,1543752
14,Molise,312027
21,Bolzano,520891
22,Trento,538223
1,Piemonte,4404246
16,Puglia,4077166
20,Sardegna,1658138
19,Sicilia,5074261
9,Toscana,3744398
10,Umbria,891181
2,Valle d'Aosta,127329
5,Veneto,4915123
